检测框序号	行识别结果	检测框坐标
1	South America	927,411,1269,411,1269,452,927,452
2	Asia	1418,411,1517,411,1517,452,1418,452
3	Africa	1694,411,1832,411,1832,452,1694,452
4	Australia	1949,411,2159,411,2159,452,1949,452
5	2010	1216,532,1334,532,1334,574,1216,574
6	Highest average	375,603,757,603,757,644,375,644
7	523.6	1042,600,1155,600,1155,646,1042,646
8	467.4	1411,600,1524,600,1524,646,1411,646
9	405.0	1704,600,1822,600,1822,646,1704,646
10	340.5	1996,600,2112,600,2112,646,1996,646
11	Highest in 24 hours	375,674,834,674,834,715,375,715
12	73.1	1058,671,1138,671,1138,717,1058,717
13	54.1	1427,671,1508,671,1508,717,1427,717
14	27.2	1720,671,1806,671,1806,717,1720,717
15	66.3	2009,671,2099,671,2099,717,2009,717
16	Highest in 12 hours	375,745,834,745,834,786,375,786
17	42.4	1054,742,1143,742,1143,788,1054,788
18	30.1	1425,742,1510,742,1510,788,1425,788
19	15.9	1722,742,1804,742,1804,788,1722,788
20	40.3	2008,742,2099,742,2099,788,2008,788
21	2009	1216,815,1334,815,1334,857,1216,857
22	Highest average	375,886,757,886,757,928,375,928
23	487.7	1043,884,1154,884,1154,929,1043,929
24	453.6	1411,884,1524,884,1524,929,1411,929
25	398.7	1706,884,1820,884,1820,929,1706,929
26	356	2016,884,2092,884,2092,929,2016,929
27	Highest in 24 hours	375,957,834,957,834,999,375,999
28	67.2	1055,955,1142,955,1142,1000,1055,1000
29	53.2	1424,955,1511,955,1511,1000,1424,1000
30	44.3	1718,955,1807,955,1807,1000,1718,1000
31	53.8	2009,955,2098,955,2098,1000,2009,1000
32	Highest in 12 hours	375,1028,834,1028,834,1069,375,1069
33	34.7	1055,1025,1141,1025,1141,1071,1055,1071
34	34.1	1426,1025,1509,1025,1509,1071,1426,1071
35	29.8	1717,1025,1808,1025,1808,1071,1717,1071
36	31.0	2011,1025,2097,1025,2097,1071,2011,1071
37	2008	1216,1099,1334,1099,1334,1140,1216,1140
38	Highest average	375,1170,757,1170,757,1211,375,1211
39	496.7	1042,1167,1155,1167,1155,1213,1042,1213
40	444.3	1410,1167,1525,1167,1525,1213,1410,1213
41	502.1	1708,1167,1818,1167,1818,1213,1708,1213
42	399.6	1996,1167,2112,1167,2112,1213,1996,1213
43	Highest in 24 hours	375,1240,834,1240,834,1282,375,1282
44	44.2	1054,1238,1143,1238,1143,1283,1054,1283
45	56.7	1425,1238,1510,1238,1510,1283,1425,1283
46	32.1	1721,1238,1804,1238,1804,1283,1721,1283
47	63.2	2009,1238,2098,1238,2098,1283,2009,1283
48	Highest in 12 hours	375,1311,834,1311,834,1353,375,1353
49	30.1	1056,1309,1141,1309,1141,1354,1056,1354
50	32.7	1425,1309,1510,1309,1510,1354,1425,1354
51	21.9	1721,1309,1805,1309,1805,1354,1721,1354
52	40.2	2008,1309,2100,1309,2100,1354,2008,1354
53	Table 29: multiple headers attributes for each data cell	375,324,1793,324,1793,370,375,370
54	 	377,1388,390,1388,390,1438,377,1438
