检测框序号	行识别结果	检测框坐标
1	2011	1261,486,1379,486,1379,527,1261,527
2	2010 restated	1742,486,2071,486,2071,527,1742,527
3	 	377,489,388,489,388,531,377,531
4	General	375,577,557,577,557,618,375,618
5	income	571,577,740,577,740,618,571,618
6	250,000	1418,574,1593,574,1593,620,1418,620
7	200,000	1996,574,2175,574,2175,620,1996,620
8	 	1299,580,1310,580,1310,622,1299,622
9	Increase in value, WIP	375,648,909,648,909,689,375,689
10	15,000	1452,645,1593,645,1593,691,1452,691
11	30,000	2025,645,2175,645,2175,691,2025,691
12	 	1299,651,1310,651,1310,693,1299,693
13	 	1299,722,1310,722,1310,763,1299,763
14	265,0 0 0 	1397,719,1605,719,1605,765,1397,765
15	23 0,0 0 0 	1976,719,2187,719,2187,765,1976,765
16	Administrative costs	375,789,855,789,855,831,375,831
17	Staff costs	375,860,623,860,623,902,375,902
18	(200,000)	1084,858,1297,858,1297,903,1084,903
19	(150,000)	1685,858,1888,858,1888,903,1685,903
20	 	2177,864,2188,864,2188,905,2177,905
21	Early departures	375,931,764,931,764,972,375,972
22	(10,000)	1118,928,1297,928,1297,974,1118,974
23	(20,000)	1704,928,1888,928,1888,974,1704,974
24	 	2177,934,2188,934,2188,976,2177,976
25	Other	375,1002,508,1002,508,1043,375,1043
26	(25,000)	1116,999,1297,999,1297,1045,1116,1045
27	(10,000)	1709,999,1888,999,1888,1045,1709,1045
28	 	2177,1005,2188,1005,2188,1047,2177,1047
29	Depreciation	375,1073,673,1073,673,1114,375,1114
30	(10,000)	1118,1070,1297,1070,1297,1116,1118,1116
31	(10,000)	1709,1070,1888,1070,1888,1116,1709,1116
32	 	2177,1076,2188,1076,2188,1118,2177,1118
33	Programme costs	375,1143,784,1143,784,1185,375,1185
34	Impairment loss	375,1214,761,1214,761,1256,375,1256
35	(10,000)	1118,1212,1297,1212,1297,1257,1118,1257
36	(5,000)	1737,1212,1892,1212,1892,1257,1737,1257
37	Other	375,1285,508,1285,508,1327,375,1327
38	(5,000)	1142,1283,1297,1283,1297,1328,1142,1328
39	(5,000)	1737,1283,1892,1283,1892,1328,1737,1328
40	 	377,1359,388,1359,388,1401,377,1401
41	(26 0,0 0 0) 	1056,1357,1309,1357,1309,1402,1056,1402
42	(2 0 0,0 0 0)	1648,1357,1891,1357,1891,1402,1648,1402
43	Surplus	375,1427,553,1427,553,1468,375,1468
44	5,0 0 0	1455,1428,1589,1428,1589,1473,1455,1473
45	3 0,0 0 0	2004,1428,2171,1428,2171,1473,2004,1473
46	2011	1600,1775,1719,1775,1719,1816,1600,1816
47	2010 restated	1846,1775,2174,1775,2174,1816,1846,1816
48	Income	375,1895,552,1895,552,1937,375,1937
49	General	929,1895,1111,1895,1111,1937,929,1937
50	income	1125,1895,1294,1895,1294,1937,1125,1937
51	250,000	1625,1893,1799,1893,1799,1938,1625,1938
52	200,000	1997,1893,2175,1893,2175,1938,1997,1938
53	Increase in value	929,1966,1334,1966,1334,2007,929,2007
54	15,000	1659,1963,1799,1963,1799,2009,1659,2009
55	30,000	2025,1963,2175,1963,2175,2009,2025,2009
56	Total	1174,2037,1292,2037,1292,2078,1174,2078
57	income	1306,2037,1475,2037,1475,2078,1306,2078
58	265,0 0 0	1604,2038,1796,2038,1796,2083,1604,2083
59	23 0,0 0 0	1976,2038,2171,2038,2171,2083,1976,2083
60	Staff costs	929,2108,1177,2108,1177,2149,929,2149
61	(200,000)	1586,2105,1799,2105,1799,2151,1586,2151
62	(150,000)	1972,2105,2175,2105,2175,2151,1972,2151
63	Administrative costs 	375,2108,868,2108,868,2153,375,2153
64	Early departures	929,2178,1318,2178,1318,2220,929,2220
65	(10,000)	1620,2176,1799,2176,1799,2221,1620,2221
66	(20,000)	1990,2176,2175,2176,2175,2221,1990,2221
67	Other operating costs	929,2249,1438,2249,1438,2291,929,2291
68	(25,000)	1618,2247,1799,2247,1799,2292,1618,2292
69	(10,000)	1996,2247,2175,2247,2175,2292,1996,2292
70	Depreciation	929,2320,1227,2320,1227,2362,929,2362
71	(10,000)	1620,2318,1799,2318,1799,2363,1620,2363
72	(10,000)	1996,2318,2175,2318,2175,2363,1996,2363
73	Impairment loss	929,2391,1315,2391,1315,2432,929,2432
74	(10,000)	1620,2388,1799,2388,1799,2434,1620,2434
75	(5,000)	2020,2388,2175,2388,2175,2434,2020,2434
76	Programme costs 	375,2391,797,2391,797,2436,375,2436
77	Other	929,2462,1062,2462,1062,2503,929,2503
78	(5,000)	1644,2459,1799,2459,1799,2505,1644,2505
79	(5,000)	2020,2459,2175,2459,2175,2505,2020,2505
80	Total costs	1221,2533,1475,2533,1475,2574,1221,2574
81	(26 0,0 0 0) 	1558,2534,1811,2534,1811,2579,1558,2579
82	(2 0 0,0 0 0)	1931,2534,2174,2534,2174,2579,1931,2579
83	Surplus	1297,2603,1475,2603,1475,2645,1297,2645
84	5,0 0 0 	1661,2604,1811,2604,1811,2650,1661,2650
85	3 0,0 0 0 	2004,2604,2187,2604,2187,2650,2004,2650
86	Table 10: self-contained year-end statement (£, thousands) (multiple	375,324,2172,324,2172,370,375,370
87	layout problems)	375,399,817,399,817,445,375,445
88	Table 11: self-contained year-end statement (£, thousands) (multiple	375,1613,2172,1613,2172,1658,375,1658
89	problems resolved)	375,1688,875,1688,875,1733,375,1733
90	 	377,2681,390,2681,390,2730,377,2730
